,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
0,app_applied_amount,0.0,0.0724040533311189,0.0,0.0,0.0,0.0,0.0,0.0
31,cus_oldinvoices_paidlate_count_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,cus_expirydate_vs_paymentdate_max_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,cus_std_12m_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,feature_learning_9,0.0,878.3617755876897,0.0,0.0,0.0,0.0,0.0,0.0
37,app_exposure_at_time_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,cus_std_1m_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,cus_previous_addresses_count,0.0,0.2282363615524351,0.0,0.0,0.0,0.0,0.0,0.0
41,klaralan_CAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,cus_oldinvoices_count_fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,cus_oldinvoices_paid_count_fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,google_CAC,0.0,338.4852863614839,0.0,0.0,0.0,0.0,0.0,0.0
30,cus_oldapps_accepted_fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,app_applied_installments_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,cus_avg_12m_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,app_exposure_at_time_fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,cus_any_prev_manual_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,nibc_repeat_customer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,cus_always_granted_applied_fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,app_manual,0.0,0.1914965231207787,0.0,0.0,0.0,0.0,0.0,0.0
59,app_rejected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,cus_always_granted_applied_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,app_is_upselling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,app_no_debt,0.0,0.13997084244475302,0.0,0.0,0.0,0.0,0.0,0.0
71,feature_learning_8,0.0,420.78074895518944,0.0,0.0,0.0,0.0,0.0,0.0
47,cus_last_approved_amount_fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,cus_oldinvoices_collected_count_fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,cus_profit_fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,cus_oldinvoices_paid_count_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,cus_std_3m_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,cus_oldapps_transferred_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,cus_oldinvoices_collected_count_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,app_blanco,0.0,0.2348468888967657,0.0,0.0,0.0,0.0,0.0,0.0
9,total_CAC,0.0,367.9624825520381,0.0,0.0,0.0,0.0,0.0,0.0
10,cus_oldinvoices_paidlate_count_fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,cus_profit_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,app_debt,0.0,307720.87628296204,0.0,0.0,0.0,0.0,0.0,0.0
12,cus_number_of_late_days_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,cus_expirydate_vs_paymentdate_lastinvoice_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,cus_avg_1m_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,feature_learning_10,0.0,550.2467735769551,0.0,0.0,0.0,0.0,0.0,0.0
24,cus_avg_6m_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,cus_avg_3m_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,cus_std_6m_comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,cus_oldinvoices_count_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,cus_last_approved_amount_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,app_spending_personal,1.3395803097556794e-05,0.1585283055056206,-3.9092057942919306e-08,2.3022639377304595e-07,3.9092057942919306e-08,2.3022639377304595e-07,0.0,0.0
64,feature_learning_1,2.686817869585013e-05,385.4190328237188,1.3346740843748942e-06,-2.0353804342259623e-07,1.3346740843748942e-06,2.0353804342259623e-07,0.0,0.0
50,app_number_of_minors_in_household,3.957752309042554e-05,0.47962304501151987,0.0,0.0,0.0,0.0,0.0,0.0
44,cus_oldapps_applications_ml,5.6129645200898795e-05,1.6162243416212303,-7.580484203201065e-05,2.4518000116774854e-05,7.580484203201065e-05,2.4518000116774854e-05,0.0,0.0
13,adtraction_CAC,0.0001945465627676043,396.14462232557554,-7.95328861343441e-05,3.379353380673412e-06,7.95328861343441e-05,3.379353380673412e-06,0.0,0.0
67,feature_learning_4,0.00045143081173523817,167.00465593865573,0.00017261736946476043,-0.00018403695214039333,0.00017261736946476043,0.00018403695214039333,0.0,0.0
68,feature_learning_5,0.0006449407702268955,197.51443328027665,-0.00041589945433337665,8.511190227021964e-05,0.00041589945433337665,8.511190227021964e-05,0.0,0.0
52,app_spend_ratio,0.0008619062904287233,0.13775816956986248,6.284358805983089e-05,-7.362083828028665e-05,6.284358805983089e-05,7.362083828028665e-05,0.0,0.0
4,adtraction_network_commission,0.002322092109780218,42.58213383346617,1.4673606931765698e-05,-0.00039460000630867276,1.4673606931765698e-05,0.00039460000630867276,0.0,0.0
16,app_income,0.003991500770066425,0.15962111488603353,-0.00012691488563041132,-0.0004651506778254262,0.0007435570424849094,0.0005041217191117829,0.0,0.0
66,feature_learning_3,0.005723631793463966,489.1557215185034,-0.0005399764861112361,0.0005062410260866562,0.0005399764861112361,0.0005062410260866562,0.0,0.0
22,app_income_net_personal,0.007862370188983264,0.14253522967209398,-0.0008953966824497052,0.00011150340385922416,0.0010174900520017029,0.0005860750529088431,0.0,0.0
65,feature_learning_2,0.011803971464521777,1268.445349472555,8.294643119226519e-06,-0.00019206864804405255,8.294643119226519e-06,0.00019206864804405255,0.0,0.0
